token,buy_price,sell_price,return_percentage,rugged
BMqFxVZUsHbAxnAaDT5kyQ8fQv7ZKwY2mNV6iX2kpump,3.1578797e-05,5.2951885e-06,-83.23182323886499,True
G5EyUoyYCfCwgApFq9LGCTF83Q4MuDWmn1uEm56Hpump,3.513707e-05,4.1099424e-05,16.968842308137827,False
GQPhHKAfd9YykJZLsvsWNbuybDkV2pvnEowowvxgpump,3.1544125e-05,3.8718616e-05,22.744301831165096,False
4xmm66uh97bgNsMh6ZYMpyYyfjs55HVBcJzKFAZGpump,3.2465659e-05,4.1543991e-05,27.962876096246823,False
D3PQgswD51s2YSrSdC5mUNbrnQnNE7tTTgmehwfGpump,3.0367954e-05,5.2660773e-06,-82.65909748150962,True
HeC73Sk1qaKniy52UHd1A8qXMApp4Uvr59si8VeNpump,3.2666211e-05,3.8772397e-05,18.692666866077616,False
41CVS59eJMgQ6Nia7j91nGLJh5tpckGuQCNrhPampump,3.0108915e-05,5.100573e-06,-83.05959215069689,True
5NGAa15DGSAZ3drEHmCFJsW5PhNsLbvWD9sxRhgMpump,2.9664122e-05,5.2389894e-06,-82.3389702887549,True
DwGm8zcK1MSfQrd5WeXi4zzrgfJxed9h4xt8gASTpump,3.1907898e-05,3.9722065e-05,24.48975799032578,False
HDrdbsjGfr3F1yuUTSqBEXWJCiCmWKiSdfcJ7UAepump,3.0436495e-05,4.0733429e-05,33.83087967257728,False
9FeCkPCysJvvVpMzHAaFpmnAaoBdrsoFBKESj7fqpump,3.1240392e-05,3.643265e-05,16.620335621908968,False
BTjrUvftmsHgCEYwfDnKQbntu9NrCc4sHvnb1KjCpump,3.7943087e-05,5.0547621e-05,33.21957962988095,False
pK2DLUdt5e2mWgZnUsJsFRpRkL113awyK5f7PTapump,3.1046959e-05,4.520257e-05,45.59419490971725,False
E4TNF32wwAcejoUDFcEMN6pTstaCgUiw51KokTc2pump,3.2380329e-05,5.5735528e-06,-82.78722615820242,True
HAyUGn1Pa7oXs5rRz3LngcTnMxTRFpc5ijLRx1r2pump,3.1092602e-05,4.0029538e-05,28.742965931252705,False
GQPmYr2aMfAewsoLLDJUYXdY5E6TWpPwnnvosNvupump,3.047559e-05,5.2034026e-06,-82.92599880757025,True
Bib87ck47GoEzdQgoDLfLbAfDmtJeqHo2N2DqyJApump,3.1371551e-05,4.0971564e-05,30.601014913161283,False
Fy5BPc9ydapPjMGwnk4dfUG3eKbNAh27Ymq235URpump,3.1656592e-05,4.0095198e-05,26.656710235896526,False
BbaGoCtrbdN322sS8HsQdGiJtrQW6YfGCVCrHrW9pump,3.1578415e-05,5.3657823e-06,-83.00806959437324,True
DQjy3w4pFuzubVWSh3QkBZdRwraDLzZTc6Y7CyaSpump,3.1282987e-05,5.4042508e-06,-82.72463304095609,True
45uRTfHWNWTrMTSBA17VeG65fJd1KFGee1neeDokpump,3.14636e-05,3.7427563e-05,18.95511956673743,False
BuZAS2WABVGMi6AXsnipoBqxTDjRDoFpabhRH2mVpump,3.1842706e-05,3.6534743e-05,14.735044816856945,False
F4WnCY51NN3BSxzzE7AMgtyy3DkNwy91SMrEKzRxpump,3.4596427e-05,4.2835511e-05,23.814840763758628,False
yTrdVwesUpvdzDNajvJRdT5gyS2gEgUYYNtVWMzpump,3.048693e-05,5.1742933e-06,-83.02783094263673,True
64ecSicBC2cDLnjntwtGtgki4dtn97193JqgjSDdpump,3.1140114e-05,5.1647469e-06,-83.41448942672464,True
VSvJFPJ5f9tEegvyTUBUXDr3quXhooux9rctMLupump,3.0662877e-05,3.7461571e-05,22.17239432555531,False
2huPq4qFxN1vpvYHEB4RM4XhGYzhzKSJ6xxAbZtkpump,3.0487457e-05,3.9327809e-05,28.996685423779343,False
8F3nKdsL1mPFCswawGzP7zK2LwCvb88kzjQHY5wxpump,3.3386237e-05,3.8576954e-05,15.547475446244524,False
58WYSLfJN4e5mEP9vT5N5ivnE1UMXdUVeWWcr3XQpump,3.1714332e-05,3.6291153e-05,14.431396505529415,False
E7h3STnv251GtprGCcTopYdxDSkpYBANabRWW4EQpump,3.1092605e-05,3.9509467e-05,27.070301764680053,False
7DfbAm1DkkUZtMqrT9mNWTyEuvah4aH6SvaPsKLspump,3.4546741e-05,4.4558324e-05,28.97981896468904,False
6CML9b4DJRPBN9h2xpD8XPdSjuwGZSA7T4VTJjzGpump,3.1908687e-05,5.4453652e-06,-82.93453691779922,True
EsbuZUFdcHHWJhBgs8iaGGZ2MDg87vLHTtRwoy1kpump,3.1085456e-05,3.9751646e-05,27.878600204545823,False
DbgoUbcpxXqRXQPBG8fJY8r9WLRM45JLi5CApsWFpump,3.1662208e-05,4.3586343e-05,37.66046575147254,False
DibxDq9rHKAHLgyshzySAt5RCDrCFvVKPceQFgzGpump,3.1276308e-05,3.339515e-05,6.7745911697761745,False
5Yam17SwrAXuZt7cAKMWwLsYQnYJ9ABEt486nEmEpump,3.3358657e-05,5.3882286e-05,61.52414649066957,False
GXVmCLH6VVq5HFcxogzPXauHQnD1o1LM8kMo9xjHpump,3.2236087e-05,5.7434457e-06,-82.18317967686339,True
2jnaRqAGDRFwzKC9qpDL3hd8J66sE94Ada8BW4tvpump,3.2657937e-05,5.385666e-06,-83.50886034228066,True
224M4h4vu8XqccDXPdzG1RNmRxp9vNa8tbtTHG79pump,3.2364769e-05,4.2190268e-05,30.358625454734433,False
